Id;StartDate;Submit Date;NetworkID;Age;Gender;WorkingStatus;GeoLocation;BanksOpenAccount;WhyBank;ATMUsage;BankServices;EsejMobilno;InternetBankMoreUsage;ScoreBankingServices;InternetSafety;InternetBankingSafety;YouthBenefits
11;24.3.2015 22:04;24.3.2015 22:10;fbdfcda12036e1d05fbe130afeabfe3fd60e7c5e;Od 19 do 25;Žensko;Student/ica;Zagrebaèka županija;ERSTE;Pristupaènost;Jednom u dva tjedna;"Debitna ili kreditna kartica; Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Besplatne transakcije";2;4;4;5
12;24.3.2015 22:43;24.3.2015 22:47;fd61778e352e5acf35cd24cf8a74f62f2bccb9ee;Od 19 do 25;Žensko;Student/ica;Meðimurska županija;PBZ;Preporuka prijatelja ili rodbine;Jednom tjedno;Debitna ili kreditna kartica;;Jednostavnija i jasnija usluga;3;3;3;6
15;24.3.2015 22:51;24.3.2015 22:57;4e39318dceaffb05e98c34ae06e1226d173593b7;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";automatsko informiranje o promjeni stanja na raèunu.;Besplatne transakcije;5;4;5;7
16;24.3.2015 22:52;24.3.2015 22:55;90321b3a6068a5f8c53a3550f499460a31a8c2a4;Manje od 15;Žensko;Nezaposlen/a;Splitsko-dalmatinska županija;Nemam raèun;;Ne koristim bankomat;Ses usluge;Lakse placanje ses usluga;Jednostavnija i jasnija usluga;6;5;5;8
17;24.3.2015 22:51;24.3.2015 22:59;e9acdb91ab26a2b8d5c2c87fe1b14fee436315a6;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";;Nagrade (smanjene cijene za odreðene usluge);5;3;4;6
18;24.3.2015 22:54;24.3.2015 22:59;3fc24e68db2683fe5fc7cf56ab259f78b8e2923c;Od 19 do 25;Žensko;Zaposlen/a;Krapinsko-zagorska ;Zagrebaèka ;Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;"Mobilno bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";;Besplatne transakcije;3;;;4
22;24.3.2015 23:06;24.3.2015 23:21;1c85e9a738cf3831ea4acc6407f9d94bbed957ab;Od 19 do 25;Žensko;Student/ica + zaposlen/a;Zagrebaèka županija;"PBZ; ERSTE";Pristupaènost;Više od èetiri puta tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";;Nagrade (smanjene cijene za odreðene usluge);5;2;3;1
26;24.3.2015 23:18;24.3.2015 23:21;5b7adca832b5b6ea9be2c2eabe3ca382251fcad3;Od 19 do 25;Žensko;Student/ica;Meðimurska županija;Zagrebaèka ;Najbolji uvjeti i pogodnosti;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";x;Sve je savršeno, ne bih ništa promijenio/la;2;1;3;6
33;24.3.2015 23:22;24.3.2015 23:27;d2d5abf45ae9b3a2b9ae4808a93044982d8cf4ff;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;"PBZ; ERSTE; Raiffeisen";Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Kontaktiranje Vašeg savjetnika u banci; Štednja; Provjera stanja na raèunu; Osiguranje";;Nagrade (smanjene cijene za odreðene usluge);4;3;3;5
35;24.3.2015 23:27;24.3.2015 23:30;9822760efa7575f8146d7759eb985773870cf1fb;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;Nemam raèun;;Ne koristim bankomat;Ne koristim bankarske usluge;;"Jednostavnija i jasnija usluga; Veæa sigurnost; Bolja uputstva za postavljanje Internet usluga; Besplatne transakcije";3;4;;5
37;24.3.2015 23:28;24.3.2015 23:30;32443234624a80be08e8d8a88501895fd0d405b8;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Zagrebaèka ;Pristupaènost;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve)";;Besplatne transakcije;4;3;4;5
42;24.3.2015 23:37;24.3.2015 23:41;bac2ddcf02d19faf2915c0c0c2fc10e60376508a;Od 19 do 25;Muško;Student/ica;Grad Zagreb;"Splitska; PBZ; ERSTE";Najbolji uvjeti i pogodnosti;Ne koristim bankomat;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Kontaktiranje Vašeg savjetnika u banci; Štednja; Provjera stanja na raèunu; Plaæanje raèuna; Investiranje";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";4;3;3;6
45;24.3.2015 23:55;24.3.2015 23:58;8bc1ce64e9ef09e8727db65aaafbc9b7ae7df331;Od 19 do 25;Žensko;Nezaposlen/a;Meðimurska županija;Hypo Alpe Adria;Preporuka prijatelja ili rodbine;Ne koristim bankomat;Ne koristim bankarske usluge;;Besplatne transakcije;1;;2;3
